Genre,Total_Manga,Most_Popular_Manga,Category,Path,Description
Explicit Content,1010.0,The Seven Deadly Sins,0,https://images2.imgbox.com/70/24/zWgWyHJI_o.jpg,Mature content.
Seinen,786.0,Erased,1,https://images2.imgbox.com/6a/76/BvEN1vbD_o.jpg,Category of anime targeting a demographic of young adult men between the ages of 18 and 40.
Mystery,685.0,Mirai Nikki,0,https://images2.imgbox.com/cb/e1/HD7AKwMj_o.jpg,"Whether its solving a crime or finding an explanation for a puzzling circumstance, the main cast willingly or reluctantly become investigators who must work to answer the who, what, why, and/or how of the current dilemma. The narrative of mystery stories is always on collecting evidence, identifying suspects, and theorizing possible scenarios for the unexplainable, before finally capturing the perpetrator or resolving the current situation."
Shoujo,662.0,Maid Sama,1,https://images2.imgbox.com/6a/13/iDdxc9L5_o.jpg,Category of anime targeting an audience of adolescent females and young adult women.
Sports,662.0,Haikyuu,0,https://images2.imgbox.com/06/b3/78bDPIxw_o.jpg,"Training for and participating in a sport take priority, with the goal of furthering one's athletic abilities—either to win a competition or achieve some social standing. While the featured sport may be individual or team, the main cast will always overcome conflict through discussion and insights gained from other athletes or coaches. This creates a general sense of collective support and achievement that is always present in Sports stories."
Military,533.0,Code Geass,0,https://images2.imgbox.com/bf/b7/5yjqRwZV_o.jpg,"In warfare, the ordinary becomes extraordinary as the ordinary gets replaced by violence and chaos. War is the ultimate test for the human psyche, where mistake leads to death. As the mind finds itself on a constant precipice, it reveals folds and corners usually tucked away during the day-to-day life of normal society. Thus, military geniuses are born, technology reaches new heights, and tactics and logistics evolve, but most of all: courage or cowardice are found."
Horror,435.0,Parasyte The Maxim,0,https://images2.imgbox.com/c7/92/8385JzaZ_o.jpg,"Creating—and maintaining—a sense of dread in the audience takes priority, eliciting shock, fear, or disgust through atmosphere and frightening scenarios. Mood must be of equal or greater importance than setting and characterization in horror stories. Almost always, the main cast will be under constant threat of danger."
Thriller,123.0,Steins Gate,0,https://images2.imgbox.com/aa/a5/YfzBtobG_o.jpg,"Instilling a sense of anticipation and excitement takes priority, and is accomplished with a narrative that is rife with twists, turns, and red herrings. Uncertainty is present every step of the way, often drawn out for maximum effect. A variety of tools are used to keep the audience on the edge of their seats, such as withholding important information, intentional misdirection, or even outright subversion of expectations."
Josei,93.0,Usagi Drop,1,https://images2.imgbox.com/2e/b0/iewL7KLM_o.jpg,Category of anime targeting an audience of adult women.
Shounen Ai,91.0,Given,1,https://images2.imgbox.com/e7/d3/8zJ3WVAm_o.jpg,"Same-sex romantic/sexual relationships between men are the focus of these stories. While Yaoi is more sexual, Shounen Ai focuses more on romantic/non-sexual relationship."
Shoujo Ai,76.0,Citrus,1,https://images2.imgbox.com/fa/32/vKoXkcKA_o.jpg,"Same-sex romantic/sexual relationships between women are the focus of these stories. While Yuri is more sexual, Shoujo Ai focuses more on romantic/non-sexual relationship."
Yaoi,39.0,Boku no Pico,0,https://images2.imgbox.com/70/1a/j34UdWiO_o.jpg,"Same-sex romantic/sexual relationships between men are the focus of these stories. While Shounen Ai is more romantic/non-sexual, Yaoi focuses more on sexual relationship."
Yuri,32.0,A Kiss for the Petals,0,https://images2.imgbox.com/86/2a/2Uq5K99q_o.jpg,"Same-sex romantic/sexual relationships between women are the focus of these stories. While Shoujo Ai is more romantic/non-sexual, Yuri focuses more on sexual relationship."
